partida_id,rodata,data,hora,mandante,visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,mandante_chutes,mandante_chutes_no_alvo,mandante_posse_de_bola,mandante_passes,mandante_precisao_passes,mandante_faltas,mandante_cartao_amarelo,mandante_cartao_vermelho,mandante_impedimentos,mandante_escanteios,visitante_chutes,visitante_chutes_no_alvo,visitante_posse_de_bola,visitante_passes,visitante_precisao_passes,visitante_faltas,visitante_cartao_amarelo,visitante_cartao_vermelho,visitante_impedimentos,visitante_escanteios
4741,13,2014-08-03,16:00:00,Chapecoense,Flamengo,C. Rodrigues,V. Luxemburgo da Silva,Chapecoense,Arena Condá,1,0,SC,RJ,15,0,35%,280,Sem Info,19,4,0,0,8,9,0,65%,509,Sem Info,13,1,0,1,5
4808,20,2014-09-10,19:30:00,Palmeiras,Criciuma,D. Silvestre Júnior,G. Dal Pozzo,Palmeiras,Estádio Municipal Paulo Machado de Carvalho,1,0,SP,SC,10,0,44%,384,Sem Info,18,4,0,1,5,10,0,56%,471,Sem Info,17,3,0,1,6
4833,22,2014-09-17,22:00:00,Coritiba,Sao Paulo,M. dos Santos Gonçalves,M. Ramalho,Coritiba, Couto Pereira,3,1,PR,SP,9,0,43%,360,Sem Info,14,5,0,1,11,5,0,57%,481,Sem Info,10,1,0,3,2
4846,23,2014-09-21,18:30:00,Gremio,Chapecoense,L. Scolari,J. da Silva,Gremio,Arena do Grêmio,1,0,RS,SC,15,0,42%,357,Sem Info,20,2,0,1,9,14,0,58%,477,Sem Info,14,4,0,2,4
4856,24,2014-09-25,20:29:00,Atletico-MG,Santos,L. Culpi,E. Alves Moreira,Atletico-MG,Estádio Raimundo Sampaio,3,2,MG,SP,15,0,52%,394,Sem Info,16,3,0,5,2,13,0,48%,355,Sem Info,18,3,0,6,10
4865,25,2014-09-28,18:32:00,Internacional,Coritiba,A. da Silva Braga,M. dos Santos Gonçalves,Internacional,Estádio José Pinheiro Borda,4,2,RS,PR,15,0,52%,477,Sem Info,12,1,0,1,6,21,0,48%,437,Sem Info,11,1,0,1,11
4870,26,2014-10-04,16:24:00,Coritiba,Athletico-PR,M. dos Santos Gonçalves,C. dos Santos Oliveira,Coritiba, Couto Pereira,1,0,PR,PR,11,0,57%,364,Sem Info,18,2,0,1,6,8,0,43%,269,Sem Info,19,2,0,1,6
4698,28,2014-10-11,18:30:00,Goias,Coritiba,S. Drubscky de Campos,M. dos Santos Gonçalves,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),3,0,GO,PR,8,0,39%,385,Sem Info,16,2,0,1,1,21,0,61%,587,Sem Info,13,2,0,0,5
4891,29,2014-10-19,16:00:00,Athletico-PR,Flamengo,C. dos Santos Oliveira,V. Luxemburgo da Silva,Athletico-PR,Estádio Joaquim Américo Guimarães,2,1,PR,RJ,12,0,46%,411,Sem Info,7,1,0,2,5,5,0,54%,485,Sem Info,11,1,0,8,3
4892,29,2014-10-19,16:00:00,Figueirense,Coritiba,A. Fucks,M. dos Santos Gonçalves,Figueirense, Orlando Scarpelli,4,0,SC,PR,17,0,47%,375,Sem Info,19,4,0,4,7,6,0,53%,418,Sem Info,15,3,0,3,4
